product_id,category_id,product_name,description,price,cost_price,weight_g,length_cm,height_cm,width_cm,stock_quantity,is_active,created_at
PROD000017,CAT0016,Essential Fitness Equipment Anything,Too hospital I ground charge either father add successful billion with fly operation management.,9.82,5.6,10088,29,54,47,265,True,2022-05-15T08:06:57
PROD000018,CAT0017,Smart Outdoor Gear Interview,Situation assume your everyone serious somebody join doctor difference amount something instead.,48.28,27.97,21647,29,51,22,410,True,2022-07-05T13:56:06
PROD000019,CAT0013,Essential Shoes Much,Themselves notice yeah least shake industry commercial.,11.14,6.75,23401,74,37,46,104,True,2024-06-03T22:24:45
PROD000020,CAT0012,Smart Women's Clothing Tough,Position group tough ability leave pick language teacher gas measure study daughter society its couple pretty.,6.08,2.65,28759,42,42,36,105,True,2022-11-14T04:17:04
PROD000021,CAT0012,Mini Women's Clothing Ever,Stay turn think bank would wife nearly degree position.,192.25,128.07,16334,52,17,55,247,True,2023-11-27T07:25:40
PROD000022,CAT0022,Classic Children's Books Thus,Poor trade appear food true development every young reveal.,25.26,11.21,2410,37,9,53,416,True,2023-05-06T06:14:28
PROD000023,CAT0001,Mini Smartphones Market,Admit law name side responsibility head discussion set future far medical.,35.91,15.08,8399,68,31,75,298,True,2024-05-06T23:45:03
PROD000024,CAT0027,Premium Fragrances Game,Concern subject scene think fund rather since else value summer down explain character.,5.99,2.75,14065,85,33,18,243,True,2022-08-30T21:33:30
PROD000025,CAT0008,Premium Bedding Guy,Star that only effect week level as himself power.,17.23,7.61,11890,11,4,13,142,True,2022-04-13T22:25:13
PROD000026,CAT0009,Smart Garden Tools Determine,Debate car benefit serve need sit another.,37.83,24.03,22552,59,15,10,456,True,2020-07-05T00:58:05
PROD000027,CAT0001,Classic Smartphones About,Mention thank base red today stock from enjoy.,8.32,3.61,23628,40,20,60,123,True,2022-04-08T17:15:39
PROD000028,CAT0023,Pro Textbooks Task,Today way send beyond billion national while realize.,51.98,33.9,802,75,39,45,390,True,2023-04-05T18:49:53
PROD000029,CAT0014,Premium Watches Fill,Talk back offer authority top entire recently.,16.11,9.06,5305,16,38,39,414,True,2020-10-24T06:41:27
PROD000030,CAT0016,Pro Fitness Equipment Guess,Hand list join hold old represent character cut later billion magazine seek amount figure happen will.,23.34,15.26,7980,63,41,26,456,True,2021-11-15T13:51:42
PROD000031,CAT0018,Pro Cycling Role,Business woman know herself woman special return common yes another candidate.,16.09,6.95,22042,44,29,79,440,True,2023-04-16T10:41:14
PROD000032,CAT0029,Premium Board Games Final,Can whose late I his direction describe room save.,305.74,141.87,27813,15,28,61,226,True,2023-04-09T12:34:20
PROD000033,CAT0025,Mini Makeup Together,Trouble specific performance later season truth at first when party kind suddenly.,32.58,13.26,8953,31,58,67,223,True,2024-06-15T19:27:12
PROD000034,CAT0022,Ultra Children's Books This,Use official rise instead likely piece call plant research small road behavior turn strong tell early.,9.31,4.62,16681,83,26,61,310,True,2021-03-24T23:52:27
PROD000035,CAT0005,Smart Tablets Amount,Always than air race energy along star control.,88.86,51.56,22439,53,12,56,106,True,2023-01-02T13:23:02
PROD000036,CAT0026,Smart Hair Care Wind,Find future hit individual specific report become.,7.65,3.69,9574,34,26,65,491,True,2022-01-28T07:23:39
PROD000037,CAT0005,Mini Tablets Deep,Success group line plan career significant single discover off consumer over coach smile consider environmental.,42.55,22.79,766,54,38,49,184,True,2024-03-05T08:26:32
PROD000038,CAT0028,Ultra Action Figures Of,Term against significant important stage represent ground list human find occur while western never beyond.,5.0,3.09,2981,60,18,49,117,True,2022-03-18T08:29:53
PROD000039,CAT0031,Pro Car Accessories Land,Several coach prevent far raise else energy reflect wife term.,6.73,3.01,28022,79,43,71,306,True,2021-08-31T01:21:40
PROD000040,CAT0003,Essential Headphones Ball,Alone meeting quickly let quite building citizen clear poor entire even of face.,41.94,29.1,1622,34,7,25,47,True,2020-06-04T13:07:20
PROD000041,CAT0017,Essential Outdoor Gear Long,Movie moment size house people the financial wife ball energy brother.,80.33,34.04,14897,24,20,23,439,True,2021-07-31T22:39:42
PROD000042,CAT0015,Pro Bags Hold,Cell sea behavior car responsibility look detail smile be doctor movement key size production.,40.68,21.27,17106,13,16,16,317,True,2021-06-30T15:19:49
PROD000043,CAT0019,Ultra Team Sports Business,Deep over follow happen under PM challenge friend number.,28.82,16.27,29374,26,17,7,413,False,2020-08-27T09:04:33
PROD000044,CAT0005,Essential Tablets Brother,Kid stuff action including light police project art per put.,23.07,14.58,26830,27,36,20,398,True,2023-02-20T05:27:30
PROD000045,CAT0012,Pro Women's Clothing Or,Drop particularly right effort nice claim research.,5.62,2.51,8099,6,22,26,392,True,2020-03-05T08:50:34
PROD000046,CAT0004,Pro Cameras Gun,None stage beautiful process policy weight near citizen various north.,13.96,7.23,1634,65,11,21,123,True,2023-02-14T19:44:02
PROD000047,CAT0018,Ultra Cycling Because,Subject decision truth fly kind performance field police focus action already meeting generation range enter.,19.05,10.26,5789,95,9,36,82,True,2020-05-11T08:08:37
PROD000048,CAT0005,Pro Tablets Cell,Wide four show play claim light voice send unit push then concern discover measure.,117.75,81.82,68,41,31,72,409,True,2023-05-12T06:35:46
PROD000049,CAT0026,Ultra Hair Care Candidate,Especially guy than worry bar suffer environmental owner gas practice attorney.,50.02,33.35,21262,71,24,78,367,True,2023-06-12T21:47:55
PROD000050,CAT0017,Ultra Outdoor Gear Event,See each energy food four about by central available pay rather miss whether.,5.0,2.79,5518,69,56,68,64,True,2021-10-04T19:03:41
PROD000051,CAT0005,Essential Tablets Finish,Beyond bad will where then each network minute Republican agency not charge two charge always.,48.86,28.34,27638,43,9,57,195,True,2023-03-06T19:22:53
PROD000052,CAT0002,Pro Laptops Series,Theory speak interview trouble option animal sometimes stage identify most recent.,20.86,10.31,24636,7,15,60,396,True,2021-04-02T05:48:11
PROD000053,CAT0029,Mini Board Games Cold,Clearly religious large art us program our write lose determine real family probably continue program.,14.7,9.7,24912,100,10,43,202,True,2020-02-20T21:14:06
PROD000054,CAT0015,Essential Bags Piece,Option room center design forward country brother full education yet it election.,68.99,46.3,16000,56,31,64,190,True,2023-12-10T10:06:01
PROD000055,CAT0009,Premium Garden Tools Laugh,Development article little foreign itself fact decision beat middle contain available road travel form western recently.,114.11,59.88,8090,23,59,17,151,True,2022-12-25T03:17:00
PROD000056,CAT0030,Smart Baby Toys Couple,Threat get floor dinner beyond special view.,101.24,68.12,28627,60,6,42,181,True,2024-01-22T07:45:31
PROD000057,CAT0003,Mini Headphones Since,Style these goal a hold under expect happen good mission decade hot leg chance night.,12.1,8.23,27810,66,6,50,169,True,2024-04-23T07:35:58
PROD000058,CAT0011,Premium Men's Clothing Father,Office whether oil soldier step plant next represent image hold official address all plan future shoulder.,22.85,9.22,4832,100,47,76,138,True,2024-05-01T23:34:25
PROD000059,CAT0014,Essential Watches Very,Morning expect find crime finish produce section interesting we.,49.28,29.04,841,62,27,47,408,True,2022-12-13T20:39:30
PROD000060,CAT0021,Premium Non-Fiction Trip,It skin wide present adult point market end.,106.77,51.83,26304,71,39,20,452,True,2024-02-23T15:53:21
PROD000061,CAT0028,Premium Action Figures Chair,And without though PM glass consumer per.,18.63,11.72,21883,75,48,77,259,True,2021-04-21T09:06:49
PROD000062,CAT0025,Smart Makeup Summer,Though kind party dinner travel list night.,26.5,13.22,14463,98,48,39,73,True,2021-09-01T23:44:33
PROD000063,CAT0006,Essential Furniture Through,Another energy hard beyond girl our scientist ten.,8.78,5.14,12973,33,4,10,155,True,2021-02-17T00:52:32
PROD000064,CAT0013,Pro Shoes Conference,News language executive analysis bit film whose employee quite teacher traditional.,7.88,4.14,13733,24,29,75,290,True,2021-10-16T08:39:58
PROD000065,CAT0001,Pro Smartphones National,Maintain office glass skill follow wait particular store card boy position lay should almost.,87.8,61.22,28192,9,18,66,402,True,2023-12-25T23:28:18
PROD000066,CAT0011,Ultra Men's Clothing At,Never example add recognize suggest ready discover sit reality us finally simple others.,168.59,114.21,3793,15,44,63,415,True,2023-03-02T03:00:30
PROD000067,CAT0031,Essential Car Accessories Focus,Tough pressure special control west may catch these.,30.37,20.86,18958,76,37,47,323,True,2024-06-24T10:16:52
PROD000068,CAT0010,Mini Lighting Husband,Start lead bill from single evidence impact heart while new still deal kitchen help.,110.41,66.28,23530,80,35,40,412,True,2022-02-01T02:38:08
PROD000069,CAT0015,Ultra Bags Economic,Attention work box whatever source hard specific wrong catch audience management involve management.,51.11,32.94,15889,39,23,70,153,True,2023-06-11T09:17:49
PROD000070,CAT0004,Essential Cameras Military,Clearly image easy rule daughter foot act system agree price sound news data bring environmental.,15.27,10.47,26319,37,8,23,284,True,2021-11-11T06:17:08
PROD000071,CAT0016,Pro Fitness Equipment Reflect,Establish apply bed can southern positive speech level.,51.09,27.55,3280,94,36,69,185,True,2023-05-27T07:01:46
PROD000072,CAT0027,Essential Fragrances School,Behavior finish little job yes thank ever can single argue school common focus really child.,209.69,119.52,2708,36,12,66,485,False,2020-07-25T01:13:19
PROD000073,CAT0021,Premium Non-Fiction Total,See meeting agent marriage once leave popular guy especially cover really clear ever quality.,31.72,21.5,14324,56,54,60,78,True,2020-04-05T01:22:01
PROD000074,CAT0022,Premium Children's Books Respond,Art common person blue five society factor if paper capital television low recognize occur.,216.5,147.5,10142,35,33,67,475,False,2021-10-26T23:07:37
PROD000075,CAT0026,Pro Hair Care Church,Situation similar red result model join agent these walk.,5.0,2.65,9436,36,41,26,172,True,2022-10-13T09:32:33
PROD000076,CAT0025,Premium Makeup Effect,Still few run go old watch them another common throw.,88.79,58.24,2740,15,52,6,76,True,2024-03-10T14:31:57
PROD000077,CAT0006,Mini Furniture Again,West rest focus red organization animal catch field ability type.,36.76,25.01,26529,94,43,24,26,True,2021-07-05T16:48:29
PROD000078,CAT0003,Mini Headphones Little,Customer realize probably need traditional traditional peace fast range question fall window outside enough lay.,23.13,10.18,12068,91,45,50,341,True,2020-05-05T14:40:01
PROD000079,CAT0011,Essential Men's Clothing Beat,Doctor make paper husband point student issue time show ten eat military.,36.97,24.69,3325,9,39,15,20,True,2021-08-20T07:03:38
PROD000080,CAT0011,Mini Men's Clothing Activity,Add PM order movie instead loss society.,5.0,3.35,16118,18,19,80,149,True,2024-06-22T11:55:36
PROD000081,CAT0005,Essential Tablets Chair,Environmental finish finish above challenge Congress color campaign natural human again some floor movie describe wife.,25.44,16.52,4592,13,31,38,80,True,2024-05-18T17:05:23
PROD000082,CAT0007,Pro Kitchen Appliances Contain,Direction manager different else environmental together thing sure middle.,50.83,27.9,22628,41,4,55,436,True,2021-05-20T19:44:01
PROD000083,CAT0031,Essential Car Accessories Only,Various property effect myself possible even visit coach provide Democrat western camera maybe road interesting.,195.09,125.46,16724,44,20,56,214,True,2021-12-31T12:11:49
PROD000084,CAT0020,Pro Fiction Books Toward,Budget on know animal religious she hundred chair trouble book poor land sell.,17.78,10.67,7936,64,11,24,18,True,2020-12-31T17:42:03
PROD000085,CAT0010,Ultra Lighting Friend,Ball employee product stay either capital long research their.,12.55,5.43,4182,24,48,14,144,True,2022-09-21T01:13:48
PROD000086,CAT0016,Ultra Fitness Equipment Name,Truth PM yard soon sign close compare gas raise laugh all man middle south positive modern.,18.14,11.17,13480,20,43,75,373,True,2021-10-13T17:43:28
PROD000087,CAT0031,Essential Car Accessories Step,Style suggest certain anyone toward yet appear probably store site east police lawyer.,99.33,59.29,5179,55,14,49,33,True,2022-02-22T12:02:59
PROD000088,CAT0025,Ultra Makeup Either,Section high set west green million toward western road treatment first subject difficult.,49.13,22.4,15238,89,27,46,230,True,2022-10-12T16:02:27
PROD000089,CAT0028,Mini Action Figures Go,May material wife whom continue move us security trip fact.,17.54,10.48,18615,94,13,5,445,True,2022-02-17T14:07:07
PROD000090,CAT0027,Essential Fragrances Republican,Force order face story here bit partner leg.,61.31,26.24,4905,10,58,22,122,True,2024-03-19T00:32:34
PROD000091,CAT0018,Smart Cycling Single,Build sea top left place choice must these something good civil prevent senior foreign break.,37.21,25.01,5965,58,4,6,323,True,2022-12-01T13:10:26
PROD000092,CAT0024,Premium Skincare Listen,Today land approach live risk store age both fly form.,105.89,53.07,15870,69,14,32,75,True,2024-04-17T22:07:22
PROD000093,CAT0018,Classic Cycling Rule,Lawyer their look happy amount industry resource term employee painting painting meet write.,14.26,7.98,19399,83,41,30,222,True,2020-05-02T11:45:30
PROD000094,CAT0030,Classic Baby Toys Stock,We red major man to school middle dog special with worker offer career purpose.,22.35,15.4,17978,42,36,63,22,True,2020-02-25T15:49:54
PROD000095,CAT0027,Mini Fragrances Show,Within act Democrat few together look wind.,20.69,11.93,2107,65,55,58,475,True,2021-12-18T12:31:28
PROD000096,CAT0021,Pro Non-Fiction State,Religious so adult speak pay create since discover wall very couple hard.,5.72,3.72,14771,38,21,9,418,True,2022-02-28T14:11:41
PROD000097,CAT0026,Classic Hair Care Describe,Step economic save body use number somebody ahead.,47.24,22.66,7561,10,16,62,122,True,2023-08-28T23:55:35
PROD000098,CAT0004,Mini Cameras Stage,Nearly method teach training nation side must reduce north writer leg.,45.3,31.15,26372,40,36,74,481,True,2024-04-07T21:19:42
PROD000099,CAT0020,Smart Fiction Books Certainly,Politics card street modern perform century miss think red.,33.32,21.01,1727,68,39,32,273,True,2022-06-12T09:48:51
PROD000100,CAT0008,Ultra Bedding Paper,How them behind although condition everybody investment least increase cultural American development as hold attack.,24.99,16.41,18424,97,23,27,279,True,2020-02-14T03:40:30
PROD000101,CAT0028,Smart Action Figures Owner,Nation look life here partner Mrs imagine their eight stay only.,6.06,2.57,8097,66,3,17,66,False,2022-03-13T04:16:55
PROD000102,CAT0011,Smart Men's Clothing Call,Go amount gas protect key will follow thousand direction say yeah section moment career me.,19.99,11.94,8474,58,12,59,104,True,2023-01-27T22:08:47
PROD000103,CAT0007,Essential Kitchen Appliances Continue,Admit claim rule until under conference reality story citizen reach.,21.95,13.82,10191,74,46,75,327,True,2021-04-28T08:02:12
PROD000104,CAT0008,Premium Bedding Thousand,Maintain where wife three chair attorney building entire expert.,12.65,8.3,7899,13,51,39,494,True,2023-11-03T02:44:25
PROD000105,CAT0022,Mini Children's Books Should,Himself tell my individual keep half old car key body occur red imagine.,27.29,11.91,27417,73,31,70,62,True,2022-05-14T15:35:39
PROD000106,CAT0006,Premium Furniture He,Reflect feeling hour room point key to sell party society.,53.78,27.26,11624,27,26,29,279,False,2020-02-26T15:08:38
PROD000107,CAT0006,Pro Furniture Each,Real move job personal mean behind reason series hundred citizen call.,318.44,222.16,4827,48,12,71,417,True,2021-08-26T06:23:50
PROD000108,CAT0031,Mini Car Accessories Better,Lose cover shoulder for series others trial writer travel be actually allow sure likely.,40.83,28.47,20745,49,3,48,436,True,2023-09-05T10:11:49
PROD000109,CAT0007,Mini Kitchen Appliances Economic,Yeah million woman run data police audience music.,45.11,28.97,26651,56,15,26,97,True,2024-02-10T22:38:26
PROD000110,CAT0005,Smart Tablets Respond,Debate contain fish run because current person.,30.29,20.99,7480,89,60,68,285,True,2023-04-18T05:21:42
PROD000111,CAT0021,Pro Non-Fiction Citizen,Listen them possible them enter really risk exist executive.,5.0,2.96,29540,10,4,62,96,True,2023-01-09T06:08:42
PROD000112,CAT0002,Essential Laptops Meet,Kitchen trial remember student face someone staff rock least.,32.08,22.34,21307,48,28,5,496,True,2023-12-10T23:40:08
PROD000113,CAT0006,Premium Furniture Team,Lay agency understand newspaper last side second call.,35.6,15.67,19535,71,37,19,303,True,2024-03-15T21:03:55
PROD000114,CAT0022,Mini Children's Books Accept,Building line participant mother close laugh be night first result task style.,636.44,277.44,1114,86,22,36,159,True,2023-08-15T10:03:51
PROD000115,CAT0019,Premium Team Sports Democratic,Name military sign nor outside computer work.,26.29,10.82,1849,43,44,22,356,True,2023-03-25T07:37:20
PROD000116,CAT0010,Mini Lighting Control,Wall together describe something who skin born its.,47.55,23.02,13551,14,35,51,38,True,2022-07-20T12:12:34
PROD000117,CAT0027,Essential Fragrances Bad,Common tough commercial remember series save part.,31.76,12.92,10789,28,47,16,445,True,2024-06-18T23:25:58
PROD000118,CAT0007,Premium Kitchen Appliances Dark,Information someone significant tend fact maintain consumer must third matter agreement thus.,8.15,4.15,8707,47,22,20,93,True,2020-09-01T22:39:07
PROD000119,CAT0015,Essential Bags Trial,Great recent around enter control none attorney church seven.,130.5,54.12,27623,75,50,74,467,True,2022-07-12T09:18:54
PROD000120,CAT0020,Ultra Fiction Books Buy,Factor trial however industry treatment produce message ago will.,81.64,35.12,24701,10,21,58,47,True,2022-04-15T21:41:12
PROD000121,CAT0004,Premium Cameras Might,Others entire past democratic yeah go defense indeed three.,85.56,37.74,19327,5,8,66,21,True,2023-01-26T23:40:12
PROD000122,CAT0026,Essential Hair Care Nor,Most field president require save manager pass yourself between fact for.,11.12,6.26,5253,80,37,36,41,True,2021-07-29T04:14:02
PROD000123,CAT0007,Premium Kitchen Appliances Price,Able return even perform interview economic mention before now.,178.28,105.05,15461,32,48,21,86,True,2024-05-02T12:49:38
PROD000124,CAT0016,Premium Fitness Equipment Among,Very much send get southern old degree edge very between structure hair.,6.16,4.29,22378,71,58,39,295,True,2021-08-05T16:44:16
PROD000125,CAT0032,Premium Motor Oil Contain,Laugh sport part listen cause whole fund size probably fly can company pay thus speech.,66.97,37.79,14131,32,41,54,98,True,2022-06-28T09:45:50
PROD000126,CAT0023,Classic Textbooks Recently,Though continue little health they quality now hand fire.,458.77,202.25,13535,79,20,39,127,True,2021-01-22T06:29:18
PROD000127,CAT0027,Classic Fragrances Actually,Race laugh first car edge into whom chance peace kid.,10.09,4.81,16357,5,9,56,302,True,2022-02-24T20:17:27
PROD000128,CAT0009,Mini Garden Tools Memory,Course action kitchen thus imagine myself husband Congress senior perform federal participant official task although.,16.78,9.61,21048,79,9,36,67,True,2021-12-18T05:50:40
PROD000129,CAT0016,Smart Fitness Equipment Detail,Result college while born hope mouth design attention play show field agent responsibility organization.,37.32,23.27,2415,92,27,22,494,True,2020-12-15T21:04:31
PROD000130,CAT0001,Smart Smartphones While,Gun four program foot mission night audience police number space Mrs student require almost card study.,18.1,10.78,3679,94,2,57,54,True,2023-10-21T00:17:29
PROD000131,CAT0010,Smart Lighting East,Total bank maintain feel voice memory image indeed drug music animal much.,5.15,2.29,25792,20,57,52,166,False,2023-03-22T15:45:20
PROD000132,CAT0018,Pro Cycling Including,Listen produce soldier enjoy front recently main.,35.96,19.17,28156,86,11,31,199,True,2022-01-24T06:07:54
PROD000133,CAT0032,Essential Motor Oil Police,Ball civil upon assume why must station force cut population.,9.26,5.06,14384,11,18,5,221,True,2020-07-09T18:39:31
PROD000134,CAT0004,Classic Cameras Someone,Land option however short instead anyone movement participant main young measure.,58.46,36.51,9522,31,28,19,451,True,2022-05-30T15:16:43
PROD000135,CAT0018,Mini Cycling Front,Thought opportunity project yes value stuff international information play perhaps.,10.99,4.98,501,65,52,72,33,True,2022-12-16T17:03:09
PROD000136,CAT0020,Ultra Fiction Books Girl,Bit near seem medical knowledge popular relate create.,212.71,126.2,6633,93,57,40,429,True,2023-04-28T12:52:01
PROD000137,CAT0018,Pro Cycling Course,Listen laugh meeting follow fish expect local race.,12.94,5.8,14406,22,3,35,330,True,2021-11-11T00:20:43
PROD000138,CAT0010,Smart Lighting Agency,Always show some scene need medical course music health increase sell rest up.,22.5,9.74,12201,71,18,17,139,True,2024-05-23T15:34:45
PROD000139,CAT0020,Premium Fiction Books Too,Relationship final wind audience station international change law trial us general want him hope.,87.9,54.84,2113,77,58,18,123,True,2022-02-22T05:50:47
PROD000140,CAT0016,Smart Fitness Equipment View,North ball arm happen late space change and for huge staff institution seven everyone require important.,7.56,4.74,18267,83,38,72,471,True,2024-03-24T05:44:31
PROD000141,CAT0001,Premium Smartphones Instead,Play nor cut civil machine forget star decision minute rise different president enjoy.,43.51,19.35,10777,93,51,75,214,True,2020-01-05T12:54:14
PROD000142,CAT0031,Premium Car Accessories Energy,Group experience foot official clearly song which community account.,158.95,72.8,24056,44,48,59,128,True,2022-04-24T21:25:56
PROD000143,CAT0013,Smart Shoes Write,Involve focus else particular trouble shoulder alone again charge Mr bar always day.,5.0,2.94,27637,82,38,77,182,True,2024-01-06T00:01:10
PROD000144,CAT0013,Essential Shoes Computer,Human support letter actually response stay someone final person region throughout hot wind.,41.33,27.57,1550,48,24,65,388,True,2022-11-01T22:16:54
PROD000145,CAT0032,Classic Motor Oil Miss,Sing generation challenge run shake value class artist be card theory bring what happy.,45.23,21.18,588,93,6,18,289,True,2021-12-19T15:18:30
PROD000146,CAT0027,Pro Fragrances Loss,Would woman choose loss where less house hour break cold carry sell.,84.62,55.85,15355,57,36,14,52,True,2023-10-03T00:18:32
PROD000147,CAT0009,Pro Garden Tools Customer,Most body protect shake listen radio break leave truth family.,7.51,3.5,7208,52,8,9,131,True,2023-06-25T03:33:14
PROD000148,CAT0008,Smart Bedding Individual,Much fast next heart off maintain food.,6.79,4.74,19338,62,59,31,47,True,2022-01-05T10:20:24
PROD000149,CAT0008,Essential Bedding Lose,Service try believe car daughter boy five radio evening material community student expert point style.,61.95,26.52,25972,81,36,35,22,True,2022-05-10T20:41:39
PROD000150,CAT0011,Smart Men's Clothing Public,Laugh bit blood exactly run impact his rate nice try.,47.29,28.24,23926,5,55,67,418,False,2023-07-03T10:42:14
PROD000151,CAT0022,Classic Children's Books Customer,Responsibility purpose there well candidate more allow speech face person successful world democratic growth TV pretty.,44.73,19.24,19149,34,38,40,0,True,2022-12-20T04:15:16
PROD000152,CAT0023,Classic Textbooks Adult,Center price provide note ball under option operation.,50.19,31.42,22854,26,3,17,321,True,2022-05-05T04:43:09
PROD000153,CAT0013,Pro Shoes Carry,Course too office door account similar hold even room around social perhaps.,14.64,6.61,7724,99,4,27,100,True,2021-09-06T01:27:17
PROD000154,CAT0009,Premium Garden Tools Figure,Guess production nothing employee challenge upon above also seven mean program.,43.76,21.38,21731,62,16,22,16,True,2021-09-26T07:32:30
PROD000155,CAT0024,Mini Skincare Ability,Later east second involve summer wall at what between there almost imagine magazine likely certain American.,47.07,27.68,9867,92,29,24,352,True,2021-05-09T05:02:04
PROD000156,CAT0031,Pro Car Accessories As,Expect it federal get walk remain wait military spend consumer pay well poor southern executive.,14.05,7.21,12322,9,36,27,350,True,2023-07-30T00:03:50
PROD000157,CAT0007,Pro Kitchen Appliances Between,Because girl television marriage over century describe test popular senior structure letter across here.,310.73,132.2,6989,14,11,58,55,True,2021-05-31T07:57:48
PROD000158,CAT0018,Smart Cycling Respond,Position center drive serve white yard serve could no town project process free left hair.,58.48,35.91,18236,91,35,80,460,False,2022-10-22T10:15:31
PROD000159,CAT0029,Classic Board Games Chair,Fight low always minute recently reach land.,7.93,3.55,17510,89,38,32,488,True,2021-06-18T19:19:00
PROD000160,CAT0029,Essential Board Games Carry,Themselves there gun degree citizen successful film next choose standard several claim camera around.,72.81,35.22,19916,32,48,7,100,True,2023-03-12T17:15:27
PROD000161,CAT0030,Mini Baby Toys Try,Fight decision dog second science time discussion able employee we.,10.28,6.97,19101,19,52,21,461,True,2020-12-17T14:11:08
PROD000162,CAT0031,Smart Car Accessories Establish,Lot until we eat argue own force far time must reason article once.,85.16,44.15,19077,96,49,22,27,True,2021-12-21T04:17:33
PROD000163,CAT0009,Premium Garden Tools Book,Sport building use everybody establish design hair.,133.0,62.8,16709,82,36,14,123,True,2020-09-16T15:16:23
PROD000164,CAT0022,Premium Children's Books Animal,Much stage onto sort star American oil important after rock type theory identify factor money health.,12.37,6.9,8558,38,23,75,69,True,2020-05-16T18:15:42
PROD000165,CAT0028,Mini Action Figures Near,Choice goal support key mission life hand itself should fall why.,105.22,57.57,6777,22,53,33,357,True,2024-05-28T05:31:44
PROD000166,CAT0010,Premium Lighting Party,Management game beat decision sound candidate imagine kid particular.,54.34,31.92,13882,97,42,74,41,True,2022-09-26T22:18:35
PROD000167,CAT0030,Essential Baby Toys Certain,Several community interesting around which great course society wish.,88.81,39.91,27811,48,3,9,391,True,2020-03-25T21:15:40
PROD000168,CAT0002,Smart Laptops Politics,Late ready consider against trouble develop fish thing last determine computer anything operation military represent.,322.52,212.5,1044,15,22,26,387,True,2020-09-08T20:30:37
PROD000169,CAT0006,Ultra Furniture Different,Chair director attention make police daughter rule customer father low life it.,24.67,14.96,26440,17,30,73,331,True,2020-03-21T06:51:51
PROD000170,CAT0010,Essential Lighting Assume,Floor movie meeting law sound yard feel specific some task training only attack.,13.4,9.33,12470,91,9,69,330,True,2022-06-26T15:22:58
PROD000171,CAT0017,Classic Outdoor Gear Require,Now despite agreement each man member fly month bill environmental similar really politics point camera.,11.39,5.1,26682,23,40,78,276,True,2024-03-05T21:59:29
PROD000172,CAT0005,Mini Tablets Our,Take current mother important perhaps least age how between respond way good sort analysis us.,12.44,5.54,25059,41,34,10,160,True,2020-05-05T11:11:13
PROD000173,CAT0028,Premium Action Figures Sure,Personal but miss somebody paper high bit head month agree maintain safe just call lead account.,30.19,16.31,19684,11,2,38,453,True,2022-12-08T23:19:25
PROD000174,CAT0022,Smart Children's Books Base,Think medical politics green image possible end art any.,49.87,21.27,16954,40,35,24,207,True,2021-01-16T23:14:40
