order_item_id,order_id,product_id,seller_id,quantity,unit_price,total_price
ITEM000000058,ORD00000035,PROD000009,SEL00050,1,19.76,19.76
ITEM000000059,ORD00000036,PROD000640,SEL00017,1,6.0,6.0
ITEM000000060,ORD00000036,PROD000433,SEL00016,2,21.8,43.6
ITEM000000061,ORD00000036,PROD001313,SEL00116,1,152.36,152.36
ITEM000000062,ORD00000037,PROD000003,SEL00105,2,71.43,142.86
ITEM000000063,ORD00000038,PROD000002,SEL00026,1,29.11,29.11
ITEM000000064,ORD00000038,PROD000045,SEL00154,1,4.95,4.95
ITEM000000065,ORD00000039,PROD000037,SEL00098,1,36.96,36.96
ITEM000000066,ORD00000039,PROD000033,SEL00016,2,33.48,66.96
ITEM000000067,ORD00000039,PROD001116,SEL00180,2,50.14,100.28
ITEM000000068,ORD00000039,PROD000041,SEL00041,1,70.43,70.43
ITEM000000069,ORD00000039,PROD000665,SEL00190,1,13.48,13.48
ITEM000000070,ORD00000040,PROD000150,SEL00098,2,45.57,91.14
ITEM000000071,ORD00000041,PROD000706,SEL00146,1,67.32,67.32
ITEM000000072,ORD00000042,PROD000003,SEL00166,1,74.39,74.39
ITEM000000073,ORD00000043,PROD000187,SEL00090,1,53.58,53.58
ITEM000000074,ORD00000044,PROD000001,SEL00098,1,57.73,57.73
ITEM000000075,ORD00000045,PROD000003,SEL00156,3,61.83,185.49
ITEM000000076,ORD00000045,PROD001116,SEL00149,1,52.55,52.55
ITEM000000077,ORD00000046,PROD000010,SEL00100,1,64.66,64.66
ITEM000000078,ORD00000047,PROD000238,SEL00179,4,43.3,173.2
ITEM000000079,ORD00000048,PROD000118,SEL00026,2,8.34,16.68
ITEM000000080,ORD00000048,PROD000076,SEL00143,1,91.85,91.85
ITEM000000081,ORD00000048,PROD001092,SEL00124,2,28.67,57.34
ITEM000000082,ORD00000049,PROD000001,SEL00134,1,62.99,62.99
ITEM000000083,ORD00000049,PROD000446,SEL00083,2,71.16,142.32
ITEM000000084,ORD00000049,PROD001341,SEL00184,1,36.6,36.6
ITEM000000085,ORD00000050,PROD000275,SEL00033,1,9.87,9.87
ITEM000000086,ORD00000051,PROD001233,SEL00143,1,28.36,28.36
ITEM000000087,ORD00000052,PROD000002,SEL00043,1,27.56,27.56
ITEM000000088,ORD00000052,PROD000124,SEL00170,1,5.46,5.46
ITEM000000089,ORD00000053,PROD000037,SEL00096,1,39.88,39.88
ITEM000000090,ORD00000054,PROD000590,SEL00129,1,12.32,12.32
ITEM000000091,ORD00000054,PROD001417,SEL00072,1,34.05,34.05
ITEM000000092,ORD00000055,PROD000036,SEL00052,1,7.23,7.23
ITEM000000093,ORD00000056,PROD000428,SEL00023,3,65.09,195.27
ITEM000000094,ORD00000056,PROD000020,SEL00163,1,5.81,5.81
ITEM000000095,ORD00000056,PROD000282,SEL00176,2,75.92,151.84
ITEM000000096,ORD00000056,PROD000163,SEL00110,1,133.28,133.28
ITEM000000097,ORD00000057,PROD001377,SEL00092,2,13.91,27.82
ITEM000000098,ORD00000058,PROD000348,SEL00053,1,5.82,5.82
ITEM000000099,ORD00000058,PROD000077,SEL00048,1,32.06,32.06
ITEM000000100,ORD00000059,PROD000007,SEL00135,1,211.12,211.12
ITEM000000101,ORD00000060,PROD000011,SEL00178,1,16.46,16.46
ITEM000000102,ORD00000061,PROD000026,SEL00086,2,35.47,70.94
ITEM000000103,ORD00000061,PROD000034,SEL00062,1,9.55,9.55
ITEM000000104,ORD00000061,PROD000924,SEL00103,1,14.28,14.28
ITEM000000105,ORD00000062,PROD000276,SEL00112,1,52.09,52.09
ITEM000000106,ORD00000063,PROD000227,SEL00017,1,35.35,35.35
ITEM000000107,ORD00000063,PROD000007,SEL00182,1,230.51,230.51
ITEM000000108,ORD00000064,PROD000955,SEL00092,3,29.85,89.55
ITEM000000109,ORD00000064,PROD000571,SEL00167,2,30.25,60.5
ITEM000000110,ORD00000064,PROD000003,SEL00063,2,70.94,141.88
ITEM000000111,ORD00000065,PROD000538,SEL00156,1,19.73,19.73
ITEM000000112,ORD00000066,PROD000253,SEL00022,1,434.82,434.82
ITEM000000113,ORD00000066,PROD000004,SEL00179,1,179.18,179.18
ITEM000000114,ORD00000066,PROD000158,SEL00130,1,55.36,55.36
ITEM000000115,ORD00000067,PROD000184,SEL00173,1,61.06,61.06
ITEM000000116,ORD00000068,PROD000013,SEL00114,1,40.99,40.99
ITEM000000117,ORD00000069,PROD001268,SEL00079,1,11.23,11.23
ITEM000000118,ORD00000069,PROD000921,SEL00138,1,113.92,113.92
ITEM000000119,ORD00000070,PROD000456,SEL00178,1,13.08,13.08
ITEM000000120,ORD00000071,PROD000161,SEL00086,1,9.69,9.69
ITEM000000121,ORD00000072,PROD000118,SEL00091,3,7.69,23.07
ITEM000000122,ORD00000073,PROD000422,SEL00137,1,266.66,266.66
ITEM000000123,ORD00000074,PROD000255,SEL00005,2,5.27,10.54
ITEM000000124,ORD00000075,PROD000003,SEL00040,2,74.34,148.68
ITEM000000125,ORD00000076,PROD000214,SEL00077,1,62.98,62.98
ITEM000000126,ORD00000077,PROD000788,SEL00178,1,52.18,52.18
ITEM000000127,ORD00000077,PROD000158,SEL00143,1,53.44,53.44
ITEM000000128,ORD00000078,PROD000002,SEL00049,1,26.02,26.02
ITEM000000129,ORD00000079,PROD000732,SEL00099,1,10.32,10.32
ITEM000000130,ORD00000079,PROD000020,SEL00070,1,5.76,5.76
ITEM000000131,ORD00000080,PROD000036,SEL00094,1,7.7,7.7
ITEM000000132,ORD00000081,PROD000013,SEL00095,2,44.67,89.34
ITEM000000133,ORD00000081,PROD000066,SEL00181,1,157.04,157.04
ITEM000000134,ORD00000081,PROD000654,SEL00126,1,7.69,7.69
ITEM000000135,ORD00000081,PROD000222,SEL00137,1,4.52,4.52
ITEM000000136,ORD00000081,PROD000021,SEL00022,3,172.27,516.81
ITEM000000137,ORD00000082,PROD001014,SEL00163,1,14.09,14.09
ITEM000000138,ORD00000083,PROD001020,SEL00017,3,49.78,149.34
ITEM000000139,ORD00000084,PROD000990,SEL00199,1,34.84,34.84
ITEM000000140,ORD00000084,PROD000030,SEL00144,2,21.66,43.32
ITEM000000141,ORD00000084,PROD000151,SEL00007,1,46.74,46.74
ITEM000000142,ORD00000085,PROD001433,SEL00018,1,88.47,88.47
ITEM000000143,ORD00000085,PROD000693,SEL00196,1,8.47,8.47
ITEM000000144,ORD00000086,PROD000001,SEL00043,1,53.0,53.0
ITEM000000145,ORD00000086,PROD000003,SEL00097,1,62.79,62.79
ITEM000000146,ORD00000087,PROD000163,SEL00195,1,138.69,138.69
ITEM000000147,ORD00000087,PROD001127,SEL00162,1,44.07,44.07
ITEM000000148,ORD00000087,PROD000246,SEL00096,2,19.65,39.3
ITEM000000149,ORD00000087,PROD000198,SEL00176,2,36.08,72.16
ITEM000000150,ORD00000087,PROD000006,SEL00020,1,21.74,21.74
ITEM000000151,ORD00000088,PROD000433,SEL00037,1,23.02,23.02
ITEM000000152,ORD00000088,PROD000835,SEL00166,1,27.64,27.64
ITEM000000153,ORD00000089,PROD000096,SEL00021,1,5.63,5.63
ITEM000000154,ORD00000089,PROD000703,SEL00043,1,12.3,12.3
ITEM000000155,ORD00000089,PROD001345,SEL00170,1,92.07,92.07
ITEM000000156,ORD00000090,PROD000021,SEL00001,1,197.19,197.19
ITEM000000157,ORD00000091,PROD000227,SEL00140,1,33.73,33.73
ITEM000000158,ORD00000092,PROD000047,SEL00025,1,16.35,16.35
ITEM000000159,ORD00000093,PROD000750,SEL00172,1,6.24,6.24
ITEM000000160,ORD00000094,PROD000300,SEL00176,2,68.52,137.04
ITEM000000161,ORD00000095,PROD000392,SEL00034,1,58.71,58.71
ITEM000000162,ORD00000096,PROD000764,SEL00140,1,27.39,27.39
ITEM000000163,ORD00000097,PROD000106,SEL00200,2,55.96,111.92
ITEM000000164,ORD00000097,PROD001149,SEL00103,2,197.04,394.08
ITEM000000165,ORD00000098,PROD000239,SEL00037,2,15.5,31.0
ITEM000000166,ORD00000099,PROD000012,SEL00160,1,16.12,16.12
ITEM000000167,ORD00000099,PROD000512,SEL00093,1,32.02,32.02
ITEM000000168,ORD00000100,PROD000751,SEL00042,2,9.96,19.92
ITEM000000169,ORD00000101,PROD000060,SEL00004,3,97.99,293.97
ITEM000000170,ORD00000101,PROD000945,SEL00195,2,285.69,571.38
ITEM000000171,ORD00000102,PROD001115,SEL00078,1,35.73,35.73
ITEM000000172,ORD00000102,PROD000043,SEL00179,1,26.4,26.4
ITEM000000173,ORD00000102,PROD001427,SEL00101,1,395.13,395.13
ITEM000000174,ORD00000103,PROD000010,SEL00104,1,64.97,64.97
ITEM000000175,ORD00000103,PROD000021,SEL00112,2,163.77,327.54
ITEM000000176,ORD00000104,PROD000017,SEL00121,2,8.43,16.86
ITEM000000177,ORD00000104,PROD001071,SEL00058,1,30.24,30.24
ITEM000000178,ORD00000105,PROD000428,SEL00088,1,64.12,64.12
ITEM000000179,ORD00000105,PROD000011,SEL00139,1,18.17,18.17
ITEM000000180,ORD00000105,PROD000141,SEL00012,1,43.08,43.08
ITEM000000181,ORD00000105,PROD000359,SEL00113,2,43.58,87.16
ITEM000000182,ORD00000105,PROD000004,SEL00030,1,215.87,215.87
ITEM000000183,ORD00000106,PROD001030,SEL00184,2,9.81,19.62
ITEM000000184,ORD00000106,PROD000780,SEL00106,2,60.75,121.5
ITEM000000185,ORD00000106,PROD000206,SEL00014,1,11.27,11.27
ITEM000000186,ORD00000107,PROD001356,SEL00145,2,4.4,8.8
ITEM000000187,ORD00000108,PROD000123,SEL00156,1,185.65,185.65
ITEM000000188,ORD00000108,PROD001430,SEL00098,1,21.85,21.85
ITEM000000189,ORD00000109,PROD000454,SEL00133,1,56.5,56.5
ITEM000000190,ORD00000110,PROD000392,SEL00194,1,57.6,57.6
ITEM000000191,ORD00000111,PROD000014,SEL00022,1,4.69,4.69
ITEM000000192,ORD00000112,PROD001029,SEL00042,1,68.24,68.24
ITEM000000193,ORD00000113,PROD000131,SEL00097,1,5.38,5.38
ITEM000000194,ORD00000113,PROD000013,SEL00182,1,45.75,45.75
ITEM000000195,ORD00000113,PROD000001,SEL00103,1,58.95,58.95
ITEM000000196,ORD00000114,PROD000274,SEL00088,1,33.29,33.29
ITEM000000197,ORD00000115,PROD000232,SEL00200,3,38.61,115.83
ITEM000000198,ORD00000116,PROD000564,SEL00136,2,20.48,40.96
ITEM000000199,ORD00000116,PROD001058,SEL00114,1,141.85,141.85
ITEM000000200,ORD00000116,PROD000004,SEL00034,1,208.04,208.04
ITEM000000201,ORD00000116,PROD000592,SEL00123,1,19.49,19.49
ITEM000000202,ORD00000117,PROD000017,SEL00034,1,8.84,8.84
ITEM000000203,ORD00000117,PROD000948,SEL00020,3,12.37,37.11
ITEM000000204,ORD00000118,PROD000825,SEL00121,1,19.5,19.5
ITEM000000205,ORD00000119,PROD000249,SEL00045,1,240.4,240.4
ITEM000000206,ORD00000119,PROD000543,SEL00171,1,57.03,57.03
ITEM000000207,ORD00000120,PROD000059,SEL00180,1,47.08,47.08
ITEM000000208,ORD00000121,PROD000170,SEL00126,1,12.37,12.37
ITEM000000209,ORD00000122,PROD000833,SEL00069,1,8.69,8.69
ITEM000000210,ORD00000122,PROD000159,SEL00120,1,7.91,7.91
ITEM000000211,ORD00000122,PROD000082,SEL00200,1,44.95,44.95
ITEM000000212,ORD00000123,PROD000194,SEL00197,1,7.41,7.41
ITEM000000213,ORD00000124,PROD000853,SEL00056,1,15.28,15.28
ITEM000000214,ORD00000124,PROD000069,SEL00003,1,51.58,51.58
ITEM000000215,ORD00000125,PROD000015,SEL00026,1,4.71,4.71
ITEM000000216,ORD00000126,PROD000547,SEL00034,1,63.83,63.83
ITEM000000217,ORD00000127,PROD000846,SEL00145,1,50.87,50.87
ITEM000000218,ORD00000127,PROD000005,SEL00069,1,25.5,25.5
ITEM000000219,ORD00000128,PROD000030,SEL00020,1,20.82,20.82
ITEM000000220,ORD00000128,PROD000010,SEL00155,1,55.03,55.03
ITEM000000221,ORD00000128,PROD000076,SEL00154,1,75.82,75.82
ITEM000000222,ORD00000129,PROD000150,SEL00077,1,44.62,44.62
ITEM000000223,ORD00000129,PROD000634,SEL00061,1,17.49,17.49
ITEM000000224,ORD00000129,PROD000422,SEL00034,1,235.68,235.68
ITEM000000225,ORD00000129,PROD000368,SEL00140,1,29.05,29.05
ITEM000000226,ORD00000130,PROD000078,SEL00119,1,23.74,23.74
ITEM000000227,ORD00000130,PROD000894,SEL00067,1,131.62,131.62
ITEM000000228,ORD00000131,PROD000170,SEL00097,1,11.69,11.69
ITEM000000229,ORD00000131,PROD001408,SEL00104,2,204.73,409.46
ITEM000000230,ORD00000132,PROD000391,SEL00137,1,11.02,11.02
ITEM000000231,ORD00000133,PROD000008,SEL00017,1,76.59,76.59
ITEM000000232,ORD00000134,PROD000471,SEL00067,1,24.63,24.63
ITEM000000233,ORD00000135,PROD000064,SEL00162,4,8.14,32.56
ITEM000000234,ORD00000135,PROD000492,SEL00174,1,184.49,184.49
ITEM000000235,ORD00000135,PROD000003,SEL00028,3,62.87,188.61
ITEM000000236,ORD00000135,PROD000015,SEL00118,1,4.43,4.43
ITEM000000237,ORD00000136,PROD000940,SEL00134,1,17.4,17.4
ITEM000000238,ORD00000136,PROD000027,SEL00058,1,7.62,7.62
ITEM000000239,ORD00000137,PROD000880,SEL00176,1,136.28,136.28
ITEM000000240,ORD00000137,PROD000044,SEL00123,2,19.99,39.98
ITEM000000241,ORD00000138,PROD000407,SEL00061,1,7.84,7.84
ITEM000000242,ORD00000138,PROD000508,SEL00185,1,11.4,11.4
ITEM000000243,ORD00000139,PROD000215,SEL00116,1,20.41,20.41
ITEM000000244,ORD00000140,PROD000054,SEL00186,2,59.49,118.98
ITEM000000245,ORD00000140,PROD000023,SEL00111,1,33.14,33.14
ITEM000000246,ORD00000141,PROD000001,SEL00055,2,59.16,118.32
ITEM000000247,ORD00000142,PROD000054,SEL00131,1,61.7,61.7
ITEM000000248,ORD00000142,PROD000426,SEL00006,3,153.41,460.23
ITEM000000249,ORD00000142,PROD001238,SEL00088,1,17.54,17.54
ITEM000000250,ORD00000143,PROD000992,SEL00006,1,4.79,4.79
ITEM000000251,ORD00000143,PROD000678,SEL00049,2,255.36,510.72
ITEM000000252,ORD00000143,PROD000738,SEL00015,1,99.01,99.01
ITEM000000253,ORD00000143,PROD000449,SEL00083,3,16.62,49.86
ITEM000000254,ORD00000144,PROD000037,SEL00128,1,41.17,41.17
ITEM000000255,ORD00000145,PROD001119,SEL00101,1,36.49,36.49
ITEM000000256,ORD00000145,PROD000460,SEL00159,1,7.97,7.97
ITEM000000257,ORD00000145,PROD000275,SEL00023,1,9.14,9.14
ITEM000000258,ORD00000145,PROD000006,SEL00010,3,25.1,75.3
ITEM000000259,ORD00000146,PROD000147,SEL00066,3,7.85,23.55
ITEM000000260,ORD00000146,PROD000160,SEL00158,2,68.74,137.48
ITEM000000261,ORD00000147,PROD000969,SEL00060,1,30.08,30.08
ITEM000000262,ORD00000148,PROD000257,SEL00138,1,155.75,155.75
ITEM000000263,ORD00000148,PROD000096,SEL00184,1,5.22,5.22
ITEM000000264,ORD00000149,PROD001398,SEL00092,1,9.64,9.64
ITEM000000265,ORD00000150,PROD000006,SEL00152,1,21.47,21.47
ITEM000000266,ORD00000150,PROD000127,SEL00073,2,9.42,18.84
ITEM000000267,ORD00000151,PROD000002,SEL00054,1,28.33,28.33
ITEM000000268,ORD00000152,PROD000612,SEL00176,1,28.94,28.94
ITEM000000269,ORD00000153,PROD001160,SEL00046,1,19.12,19.12
ITEM000000270,ORD00000154,PROD000044,SEL00162,1,20.58,20.58
ITEM000000271,ORD00000155,PROD000949,SEL00103,1,32.62,32.62
ITEM000000272,ORD00000156,PROD000049,SEL00021,1,47.33,47.33
ITEM000000273,ORD00000157,PROD001133,SEL00087,2,236.21,472.42
ITEM000000274,ORD00000157,PROD000647,SEL00022,1,4.6,4.6
ITEM000000275,ORD00000157,PROD000784,SEL00012,1,66.94,66.94
ITEM000000276,ORD00000158,PROD000001,SEL00038,1,51.47,51.47
ITEM000000277,ORD00000159,PROD001338,SEL00124,2,19.67,39.34
ITEM000000278,ORD00000159,PROD000580,SEL00052,1,123.99,123.99
ITEM000000279,ORD00000160,PROD000054,SEL00004,2,60.62,121.24
ITEM000000280,ORD00000160,PROD000857,SEL00171,1,12.7,12.7
ITEM000000281,ORD00000161,PROD000045,SEL00151,3,5.72,17.16
ITEM000000282,ORD00000161,PROD000997,SEL00146,2,266.39,532.78
ITEM000000283,ORD00000162,PROD000006,SEL00198,1,23.88,23.88
ITEM000000284,ORD00000162,PROD000529,SEL00198,1,38.69,38.69
ITEM000000285,ORD00000163,PROD000249,SEL00183,1,258.28,258.28
ITEM000000286,ORD00000163,PROD000005,SEL00146,1,24.47,24.47
ITEM000000287,ORD00000164,PROD000031,SEL00097,1,14.76,14.76
ITEM000000288,ORD00000165,PROD000001,SEL00098,2,56.51,113.02
ITEM000000289,ORD00000166,PROD000168,SEL00162,1,329.75,329.75
ITEM000000290,ORD00000166,PROD000053,SEL00004,1,13.71,13.71
ITEM000000291,ORD00000166,PROD000331,SEL00111,1,31.27,31.27
ITEM000000292,ORD00000166,PROD000051,SEL00030,2,43.66,87.32
ITEM000000293,ORD00000167,PROD000052,SEL00107,1,18.32,18.32
ITEM000000294,ORD00000167,PROD000620,SEL00101,1,44.01,44.01
ITEM000000295,ORD00000168,PROD000002,SEL00140,2,24.92,49.84
ITEM000000296,ORD00000169,PROD001103,SEL00029,3,347.56,1042.68
ITEM000000297,ORD00000169,PROD000929,SEL00040,1,200.71,200.71
ITEM000000298,ORD00000169,PROD000454,SEL00151,2,62.69,125.38
ITEM000000299,ORD00000170,PROD000323,SEL00146,2,10.86,21.72
ITEM000000300,ORD00000170,PROD001065,SEL00027,2,21.67,43.34
ITEM000000301,ORD00000170,PROD000017,SEL00158,1,8.97,8.97
ITEM000000302,ORD00000171,PROD000004,SEL00012,1,178.29,178.29
ITEM000000303,ORD00000172,PROD000030,SEL00088,3,23.09,69.27
ITEM000000304,ORD00000173,PROD000755,SEL00093,1,10.22,10.22
ITEM000000305,ORD00000174,PROD000001,SEL00018,1,52.34,52.34
ITEM000000306,ORD00000175,PROD000308,SEL00014,1,14.71,14.71
ITEM000000307,ORD00000175,PROD001480,SEL00057,1,20.54,20.54
ITEM000000308,ORD00000176,PROD000940,SEL00101,2,17.67,35.34
ITEM000000309,ORD00000176,PROD000225,SEL00074,1,19.05,19.05
ITEM000000310,ORD00000177,PROD000003,SEL00017,2,69.25,138.5
ITEM000000311,ORD00000178,PROD000863,SEL00076,1,184.29,184.29
ITEM000000312,ORD00000178,PROD000332,SEL00083,1,9.67,9.67
ITEM000000313,ORD00000179,PROD000007,SEL00163,1,210.12,210.12
ITEM000000314,ORD00000179,PROD000005,SEL00070,1,23.83,23.83
ITEM000000315,ORD00000180,PROD001128,SEL00002,2,12.57,25.14
ITEM000000316,ORD00000180,PROD000457,SEL00196,2,28.56,57.12
ITEM000000317,ORD00000181,PROD000856,SEL00019,1,16.1,16.1
ITEM000000318,ORD00000182,PROD001018,SEL00092,1,17.94,17.94
ITEM000000319,ORD00000183,PROD000291,SEL00042,1,27.02,27.02
ITEM000000320,ORD00000184,PROD000220,SEL00178,2,35.31,70.62
ITEM000000321,ORD00000185,PROD000133,SEL00117,1,9.71,9.71
ITEM000000322,ORD00000185,PROD000060,SEL00056,3,109.31,327.93
ITEM000000323,ORD00000186,PROD000136,SEL00144,2,216.79,433.58
ITEM000000324,ORD00000186,PROD000698,SEL00097,2,7.7,15.4
ITEM000000325,ORD00000187,PROD000337,SEL00062,1,10.95,10.95
ITEM000000326,ORD00000187,PROD001066,SEL00032,2,8.18,16.36
ITEM000000327,ORD00000187,PROD000144,SEL00156,1,42.88,42.88
ITEM000000328,ORD00000187,PROD000345,SEL00111,1,17.37,17.37
ITEM000000329,ORD00000187,PROD000386,SEL00165,1,40.64,40.64
ITEM000000330,ORD00000188,PROD000321,SEL00095,2,34.54,69.08
ITEM000000331,ORD00000188,PROD000526,SEL00103,1,4.84,4.84
ITEM000000332,ORD00000188,PROD000030,SEL00178,1,19.91,19.91
ITEM000000333,ORD00000188,PROD000214,SEL00076,1,70.6,70.6
ITEM000000334,ORD00000189,PROD000006,SEL00026,2,26.18,52.36
ITEM000000335,ORD00000189,PROD000098,SEL00102,3,43.79,131.37
ITEM000000336,ORD00000190,PROD000187,SEL00171,1,60.87,60.87
ITEM000000337,ORD00000191,PROD000424,SEL00067,2,110.89,221.78
ITEM000000338,ORD00000192,PROD001288,SEL00050,1,55.47,55.47
ITEM000000339,ORD00000192,PROD000335,SEL00097,2,104.03,208.06
ITEM000000340,ORD00000193,PROD000621,SEL00120,3,11.53,34.59
ITEM000000341,ORD00000194,PROD000207,SEL00006,1,61.45,61.45
ITEM000000342,ORD00000194,PROD000391,SEL00135,2,10.48,20.96
ITEM000000343,ORD00000194,PROD000003,SEL00074,1,66.77,66.77
ITEM000000344,ORD00000195,PROD000035,SEL00049,1,86.65,86.65
ITEM000000345,ORD00000196,PROD000084,SEL00188,1,15.75,15.75
ITEM000000346,ORD00000196,PROD000171,SEL00088,1,11.73,11.73
ITEM000000347,ORD00000197,PROD000002,SEL00067,1,27.35,27.35
ITEM000000348,ORD00000198,PROD000010,SEL00072,2,57.13,114.26
ITEM000000349,ORD00000198,PROD000043,SEL00192,1,28.92,28.92
ITEM000000350,ORD00000199,PROD001375,SEL00155,2,165.44,330.88
ITEM000000351,ORD00000200,PROD000067,SEL00100,1,26.83,26.83
ITEM000000352,ORD00000200,PROD000181,SEL00124,1,72.67,72.67
ITEM000000353,ORD00000201,PROD000019,SEL00120,1,10.39,10.39
ITEM000000354,ORD00000201,PROD000351,SEL00186,3,44.68,134.04
ITEM000000355,ORD00000201,PROD000044,SEL00006,1,20.49,20.49
ITEM000000356,ORD00000201,PROD000022,SEL00131,1,24.17,24.17
ITEM000000357,ORD00000202,PROD000219,SEL00092,4,18.88,75.52
ITEM000000358,ORD00000202,PROD000001,SEL00081,2,51.9,103.8
ITEM000000359,ORD00000203,PROD000001,SEL00117,1,59.63,59.63
ITEM000000360,ORD00000203,PROD000025,SEL00109,1,15.87,15.87
ITEM000000361,ORD00000203,PROD000006,SEL00168,1,23.41,23.41
ITEM000000362,ORD00000203,PROD000091,SEL00027,1,38.68,38.68
ITEM000000363,ORD00000204,PROD000777,SEL00064,1,14.39,14.39
ITEM000000364,ORD00000205,PROD000292,SEL00011,2,18.08,36.16
ITEM000000365,ORD00000205,PROD000215,SEL00134,1,19.66,19.66
ITEM000000366,ORD00000206,PROD000049,SEL00158,1,42.74,42.74
ITEM000000367,ORD00000207,PROD001213,SEL00054,1,12.8,12.8
ITEM000000368,ORD00000207,PROD000107,SEL00041,1,317.21,317.21
ITEM000000369,ORD00000208,PROD000004,SEL00159,1,197.21,197.21
ITEM000000370,ORD00000209,PROD000362,SEL00035,1,190.53,190.53
ITEM000000371,ORD00000209,PROD000007,SEL00040,2,210.57,421.14
ITEM000000372,ORD00000209,PROD000074,SEL00001,2,192.27,384.54
ITEM000000373,ORD00000209,PROD000209,SEL00070,1,63.0,63.0
ITEM000000374,ORD00000209,PROD001002,SEL00164,1,105.38,105.38
ITEM000000375,ORD00000210,PROD000193,SEL00182,1,37.46,37.46
ITEM000000376,ORD00000210,PROD000525,SEL00110,1,13.48,13.48
