payment_id,order_id,payment_sequence,payment_type,installments,payment_value,payment_status
PAY000000110,ORD00000099,1,credit_card,1,260.52,approved
PAY000000111,ORD00000100,1,boleto,1,96.18,approved
PAY000000112,ORD00000101,1,credit_card,1,306.23,approved
PAY000000113,ORD00000102,1,credit_card,1,714.44,approved
PAY000000114,ORD00000103,1,credit_card,1,551.57,approved
PAY000000115,ORD00000104,1,debit_card,1,533.7,approved
PAY000000116,ORD00000105,1,boleto,1,43.21,refunded
PAY000000117,ORD00000106,1,boleto,1,1083.52,approved
PAY000000118,ORD00000107,1,boleto,1,385.96,approved
PAY000000119,ORD00000107,2,debit_card,1,761.38,approved
PAY000000120,ORD00000108,1,boleto,1,1086.38,approved
PAY000000121,ORD00000109,1,debit_card,1,1013.76,approved
PAY000000122,ORD00000110,1,boleto,1,110.17,approved
PAY000000123,ORD00000111,1,credit_card,6,714.26,approved
PAY000000124,ORD00000112,1,boleto,1,172.18,approved
PAY000000125,ORD00000112,2,credit_card,2,1175.6,approved
PAY000000126,ORD00000113,1,boleto,1,278.33,approved
PAY000000127,ORD00000114,1,credit_card,6,506.17,approved
PAY000000128,ORD00000115,1,credit_card,3,49.91,approved
PAY000000129,ORD00000116,1,credit_card,6,435.71,approved
PAY000000130,ORD00000117,1,credit_card,3,583.27,approved
PAY000000131,ORD00000118,1,boleto,1,347.57,approved
PAY000000132,ORD00000119,1,voucher,1,57.4,approved
PAY000000133,ORD00000119,2,credit_card,3,240.91,approved
PAY000000134,ORD00000120,1,voucher,1,892.36,approved
PAY000000135,ORD00000120,2,credit_card,12,643.51,approved
PAY000000136,ORD00000121,1,debit_card,1,255.39,approved
PAY000000137,ORD00000122,1,voucher,1,1170.0,approved
PAY000000138,ORD00000122,2,credit_card,3,969.26,approved
PAY000000139,ORD00000123,1,boleto,1,978.04,approved
PAY000000140,ORD00000124,1,debit_card,1,305.66,refunded
PAY000000141,ORD00000125,1,credit_card,6,418.16,approved
PAY000000142,ORD00000126,1,credit_card,3,316.06,approved
PAY000000143,ORD00000127,1,credit_card,12,848.14,approved
PAY000000144,ORD00000128,1,credit_card,2,1136.51,approved
PAY000000145,ORD00000129,1,boleto,1,925.4,approved
PAY000000146,ORD00000129,2,credit_card,3,377.6,approved
PAY000000147,ORD00000130,1,credit_card,6,188.59,approved
PAY000000148,ORD00000131,1,voucher,1,53.35,approved
PAY000000149,ORD00000132,1,credit_card,12,986.89,approved
PAY000000150,ORD00000133,1,boleto,1,1129.87,approved
PAY000000151,ORD00000134,1,credit_card,3,364.69,approved
PAY000000152,ORD00000135,1,credit_card,1,499.97,approved
PAY000000153,ORD00000135,2,credit_card,1,415.78,approved
PAY000000154,ORD00000136,1,boleto,1,44.87,approved
PAY000000155,ORD00000137,1,boleto,1,1095.07,approved
PAY000000156,ORD00000138,1,credit_card,12,679.29,approved
PAY000000157,ORD00000139,1,credit_card,2,332.07,approved
PAY000000158,ORD00000140,1,credit_card,12,433.06,approved
PAY000000159,ORD00000141,1,credit_card,1,1186.71,approved
PAY000000160,ORD00000142,1,credit_card,3,466.68,approved
PAY000000161,ORD00000143,1,credit_card,12,498.76,approved
PAY000000162,ORD00000144,1,credit_card,3,562.67,approved
PAY000000163,ORD00000145,1,boleto,1,993.77,approved
PAY000000164,ORD00000146,1,boleto,1,786.84,approved
PAY000000165,ORD00000147,1,credit_card,1,25.31,approved
PAY000000166,ORD00000148,1,credit_card,6,301.08,approved
PAY000000167,ORD00000149,1,debit_card,1,997.59,approved
PAY000000168,ORD00000150,1,credit_card,3,399.27,approved
PAY000000169,ORD00000151,1,boleto,1,364.22,approved
PAY000000170,ORD00000152,1,credit_card,12,469.5,approved
PAY000000171,ORD00000153,1,credit_card,6,26.19,approved
PAY000000172,ORD00000154,1,credit_card,6,528.21,approved
PAY000000173,ORD00000154,2,credit_card,3,835.94,approved
PAY000000174,ORD00000155,1,boleto,1,246.16,approved
PAY000000175,ORD00000156,1,credit_card,3,818.17,approved
PAY000000176,ORD00000157,1,boleto,1,272.46,approved
PAY000000177,ORD00000158,1,debit_card,1,107.92,approved
PAY000000178,ORD00000159,1,credit_card,1,147.37,approved
PAY000000179,ORD00000160,1,credit_card,3,860.23,approved
PAY000000180,ORD00000160,2,credit_card,12,1147.53,approved
PAY000000181,ORD00000161,1,credit_card,1,91.85,approved
PAY000000182,ORD00000162,1,credit_card,1,150.43,approved
PAY000000183,ORD00000163,1,boleto,1,276.91,approved
PAY000000184,ORD00000164,1,credit_card,1,738.73,approved
PAY000000185,ORD00000165,1,credit_card,1,980.16,approved
PAY000000186,ORD00000166,1,credit_card,3,94.34,approved
PAY000000187,ORD00000167,1,boleto,1,962.08,approved
PAY000000188,ORD00000168,1,credit_card,6,141.75,approved
PAY000000189,ORD00000169,1,credit_card,12,1135.6,approved
PAY000000190,ORD00000170,1,credit_card,12,418.71,approved
PAY000000191,ORD00000171,1,credit_card,1,42.74,approved
PAY000000192,ORD00000172,1,debit_card,1,143.31,refunded
PAY000000193,ORD00000173,1,boleto,1,1013.79,approved
PAY000000194,ORD00000174,1,credit_card,6,326.13,approved
PAY000000195,ORD00000174,2,boleto,1,1143.83,approved
PAY000000196,ORD00000175,1,credit_card,1,664.34,approved
PAY000000197,ORD00000176,1,credit_card,6,925.19,approved
PAY000000198,ORD00000177,1,boleto,1,880.45,approved
PAY000000199,ORD00000177,2,debit_card,1,669.86,approved
PAY000000200,ORD00000178,1,boleto,1,425.03,approved
PAY000000201,ORD00000179,1,credit_card,3,361.49,approved
PAY000000202,ORD00000180,1,credit_card,6,1155.56,approved
PAY000000203,ORD00000181,1,debit_card,1,822.78,approved
PAY000000204,ORD00000182,1,boleto,1,814.53,refunded
PAY000000205,ORD00000183,1,debit_card,1,534.75,approved
PAY000000206,ORD00000184,1,credit_card,1,112.22,approved
PAY000000207,ORD00000185,1,boleto,1,370.76,approved
PAY000000208,ORD00000186,1,credit_card,2,42.99,approved
PAY000000209,ORD00000187,1,credit_card,12,390.22,approved
PAY000000210,ORD00000188,1,credit_card,12,1017.28,approved
PAY000000211,ORD00000189,1,credit_card,2,299.25,approved
PAY000000212,ORD00000190,1,credit_card,12,118.94,approved
PAY000000213,ORD00000191,1,boleto,1,283.01,approved
PAY000000214,ORD00000192,1,debit_card,1,716.37,approved
PAY000000215,ORD00000192,2,voucher,1,158.37,approved
PAY000000216,ORD00000193,1,credit_card,2,227.29,approved
PAY000000217,ORD00000194,1,credit_card,1,517.39,approved
PAY000000218,ORD00000195,1,credit_card,3,311.47,approved
PAY000000219,ORD00000196,1,debit_card,1,257.06,approved
PAY000000220,ORD00000196,2,credit_card,6,251.74,approved
PAY000000221,ORD00000197,1,credit_card,2,626.0,approved
PAY000000222,ORD00000198,1,credit_card,1,1192.14,approved
PAY000000223,ORD00000198,2,credit_card,6,949.59,approved
PAY000000224,ORD00000199,1,voucher,1,919.34,approved
PAY000000225,ORD00000200,1,credit_card,2,22.1,approved
PAY000000226,ORD00000201,1,credit_card,12,834.76,approved
PAY000000227,ORD00000202,1,credit_card,6,985.49,approved
PAY000000228,ORD00000203,1,boleto,1,384.85,approved
PAY000000229,ORD00000204,1,credit_card,2,710.61,approved
PAY000000230,ORD00000204,2,credit_card,6,627.91,approved
PAY000000231,ORD00000205,1,debit_card,1,875.95,approved
PAY000000232,ORD00000206,1,debit_card,1,293.24,approved
PAY000000233,ORD00000207,1,credit_card,6,523.01,approved
PAY000000234,ORD00000208,1,boleto,1,536.7,refunded
PAY000000235,ORD00000209,1,credit_card,6,1101.6,approved
PAY000000236,ORD00000210,1,voucher,1,104.03,refunded
PAY000000237,ORD00000210,2,debit_card,1,587.9,refunded
PAY000000238,ORD00000211,1,credit_card,6,333.13,refunded
PAY000000239,ORD00000212,1,credit_card,2,615.38,approved
PAY000000240,ORD00000212,2,credit_card,1,188.23,approved
PAY000000241,ORD00000213,1,credit_card,6,155.09,approved
PAY000000242,ORD00000214,1,boleto,1,544.99,approved
PAY000000243,ORD00000215,1,credit_card,2,570.76,approved
PAY000000244,ORD00000216,1,credit_card,2,1035.97,approved
PAY000000245,ORD00000217,1,debit_card,1,91.26,approved
PAY000000246,ORD00000218,1,credit_card,2,755.97,refunded
PAY000000247,ORD00000218,2,credit_card,12,1168.31,refunded
PAY000000248,ORD00000219,1,boleto,1,655.49,approved
PAY000000249,ORD00000220,1,boleto,1,1127.57,approved
PAY000000250,ORD00000221,1,credit_card,2,304.13,approved
PAY000000251,ORD00000222,1,credit_card,6,684.86,approved
PAY000000252,ORD00000223,1,debit_card,1,174.97,approved
PAY000000253,ORD00000224,1,boleto,1,608.34,approved
PAY000000254,ORD00000225,1,debit_card,1,1115.24,approved
PAY000000255,ORD00000226,1,boleto,1,148.07,approved
PAY000000256,ORD00000227,1,boleto,1,601.09,approved
PAY000000257,ORD00000228,1,boleto,1,1010.73,approved
PAY000000258,ORD00000229,1,credit_card,1,877.6,approved
PAY000000259,ORD00000229,2,debit_card,1,579.49,approved
PAY000000260,ORD00000230,1,debit_card,1,811.73,approved
PAY000000261,ORD00000231,1,credit_card,2,826.9,refunded
PAY000000262,ORD00000232,1,credit_card,12,498.17,approved
PAY000000263,ORD00000233,1,credit_card,12,1143.29,approved
PAY000000264,ORD00000233,2,credit_card,3,1040.33,approved
PAY000000265,ORD00000234,1,boleto,1,291.52,approved
PAY000000266,ORD00000235,1,credit_card,2,626.2,approved
PAY000000267,ORD00000236,1,credit_card,6,419.73,approved
PAY000000268,ORD00000237,1,debit_card,1,282.93,approved
PAY000000269,ORD00000238,1,boleto,1,635.5,approved
PAY000000270,ORD00000238,2,debit_card,1,566.32,approved
PAY000000271,ORD00000239,1,boleto,1,509.1,approved
PAY000000272,ORD00000240,1,credit_card,12,198.52,approved
PAY000000273,ORD00000241,1,boleto,1,869.62,approved
PAY000000274,ORD00000242,1,boleto,1,709.52,approved
PAY000000275,ORD00000243,1,debit_card,1,495.88,approved
PAY000000276,ORD00000244,1,credit_card,12,111.06,approved
PAY000000277,ORD00000245,1,credit_card,6,749.2,approved
PAY000000278,ORD00000246,1,credit_card,6,559.05,approved
PAY000000279,ORD00000247,1,credit_card,2,674.75,approved
PAY000000280,ORD00000248,1,boleto,1,899.73,approved
PAY000000281,ORD00000248,2,credit_card,1,626.64,approved
PAY000000282,ORD00000249,1,credit_card,3,669.05,approved
PAY000000283,ORD00000250,1,credit_card,2,963.42,approved
PAY000000284,ORD00000251,1,boleto,1,1031.91,approved
PAY000000285,ORD00000252,1,voucher,1,150.77,approved
PAY000000286,ORD00000253,1,voucher,1,751.16,approved
PAY000000287,ORD00000254,1,debit_card,1,824.82,approved
PAY000000288,ORD00000255,1,credit_card,2,1143.34,approved
PAY000000289,ORD00000256,1,credit_card,3,287.21,approved
PAY000000290,ORD00000257,1,boleto,1,83.24,approved
PAY000000291,ORD00000258,1,boleto,1,1078.7,approved
PAY000000292,ORD00000259,1,boleto,1,1086.4,refunded
PAY000000293,ORD00000260,1,credit_card,3,439.0,approved
PAY000000294,ORD00000261,1,voucher,1,756.84,approved
PAY000000295,ORD00000262,1,credit_card,1,653.28,approved
PAY000000296,ORD00000263,1,credit_card,12,40.18,approved
PAY000000297,ORD00000264,1,credit_card,12,650.54,approved
PAY000000298,ORD00000265,1,boleto,1,238.66,approved
PAY000000299,ORD00000266,1,credit_card,2,768.15,approved
PAY000000300,ORD00000267,1,credit_card,3,1169.61,approved
PAY000000301,ORD00000268,1,credit_card,6,794.21,approved
PAY000000302,ORD00000268,2,boleto,1,1024.39,approved
PAY000000303,ORD00000269,1,debit_card,1,335.12,approved
PAY000000304,ORD00000270,1,credit_card,3,341.96,approved
PAY000000305,ORD00000271,1,credit_card,3,983.88,approved
PAY000000306,ORD00000272,1,credit_card,3,89.15,approved
PAY000000307,ORD00000272,2,boleto,1,348.96,approved
PAY000000308,ORD00000273,1,credit_card,2,1127.89,approved
PAY000000309,ORD00000274,1,boleto,1,187.64,approved
PAY000000310,ORD00000275,1,credit_card,1,862.12,approved
PAY000000311,ORD00000276,1,credit_card,3,658.21,approved
PAY000000312,ORD00000277,1,voucher,1,1159.89,approved
PAY000000313,ORD00000278,1,boleto,1,458.8,approved
PAY000000314,ORD00000279,1,credit_card,12,997.08,approved
PAY000000315,ORD00000280,1,boleto,1,736.21,approved
PAY000000316,ORD00000281,1,boleto,1,636.07,approved
PAY000000317,ORD00000282,1,credit_card,6,847.31,approved
PAY000000318,ORD00000283,1,boleto,1,744.0,refunded
PAY000000319,ORD00000284,1,credit_card,1,1052.86,approved
PAY000000320,ORD00000285,1,boleto,1,1028.77,approved
PAY000000321,ORD00000286,1,credit_card,6,291.23,approved
PAY000000322,ORD00000287,1,boleto,1,986.25,approved
PAY000000323,ORD00000288,1,credit_card,12,765.92,approved
PAY000000324,ORD00000289,1,credit_card,1,917.76,approved
PAY000000325,ORD00000290,1,credit_card,1,877.53,approved
PAY000000326,ORD00000291,1,debit_card,1,996.19,approved
PAY000000327,ORD00000291,2,credit_card,12,295.61,approved
PAY000000328,ORD00000292,1,credit_card,1,1166.9,approved
PAY000000329,ORD00000293,1,boleto,1,617.72,approved
PAY000000330,ORD00000294,1,credit_card,3,921.55,approved
PAY000000331,ORD00000295,1,credit_card,1,73.83,approved
PAY000000332,ORD00000296,1,boleto,1,500.52,approved
PAY000000333,ORD00000297,1,credit_card,2,793.16,approved
PAY000000334,ORD00000298,1,credit_card,6,1036.87,approved
PAY000000335,ORD00000299,1,credit_card,1,196.7,approved
PAY000000336,ORD00000300,1,boleto,1,91.21,approved
PAY000000337,ORD00000301,1,voucher,1,25.37,approved
PAY000000338,ORD00000302,1,voucher,1,508.58,refunded
PAY000000339,ORD00000303,1,credit_card,2,845.88,approved
PAY000000340,ORD00000304,1,credit_card,6,488.69,approved
PAY000000341,ORD00000305,1,credit_card,1,1044.77,approved
PAY000000342,ORD00000306,1,boleto,1,638.78,approved
PAY000000343,ORD00000306,2,boleto,1,1169.57,approved
PAY000000344,ORD00000307,1,debit_card,1,370.49,approved
PAY000000345,ORD00000308,1,credit_card,2,268.25,approved
PAY000000346,ORD00000309,1,credit_card,12,974.42,approved
PAY000000347,ORD00000310,1,debit_card,1,1136.44,approved
PAY000000348,ORD00000311,1,credit_card,6,366.34,approved
PAY000000349,ORD00000312,1,debit_card,1,163.01,approved
PAY000000350,ORD00000313,1,debit_card,1,928.08,refunded
PAY000000351,ORD00000314,1,credit_card,2,541.93,approved
PAY000000352,ORD00000315,1,credit_card,2,570.21,approved
PAY000000353,ORD00000316,1,credit_card,1,961.2,approved
PAY000000354,ORD00000317,1,credit_card,12,83.49,approved
PAY000000355,ORD00000318,1,credit_card,12,1124.0,approved
PAY000000356,ORD00000318,2,boleto,1,874.04,approved
PAY000000357,ORD00000319,1,boleto,1,1128.29,approved
PAY000000358,ORD00000320,1,credit_card,3,751.74,approved
PAY000000359,ORD00000321,1,credit_card,1,651.02,approved
PAY000000360,ORD00000322,1,credit_card,3,1136.76,approved
PAY000000361,ORD00000322,2,credit_card,2,1016.28,approved
PAY000000362,ORD00000323,1,credit_card,6,177.82,approved
PAY000000363,ORD00000324,1,boleto,1,668.59,approved
PAY000000364,ORD00000325,1,credit_card,6,271.66,approved
PAY000000365,ORD00000326,1,credit_card,1,1133.07,approved
PAY000000366,ORD00000327,1,credit_card,1,1184.66,approved
PAY000000367,ORD00000328,1,credit_card,1,675.05,approved
PAY000000368,ORD00000329,1,credit_card,3,245.75,approved
PAY000000369,ORD00000330,1,credit_card,3,147.53,approved
PAY000000370,ORD00000331,1,debit_card,1,330.25,refunded
PAY000000371,ORD00000332,1,credit_card,2,954.59,approved
PAY000000372,ORD00000333,1,credit_card,3,994.67,approved
PAY000000373,ORD00000334,1,boleto,1,1124.71,refunded
PAY000000374,ORD00000335,1,credit_card,6,873.92,approved
PAY000000375,ORD00000336,1,credit_card,2,142.29,approved
PAY000000376,ORD00000337,1,credit_card,1,290.42,approved
PAY000000377,ORD00000337,2,credit_card,1,499.33,approved
PAY000000378,ORD00000338,1,boleto,1,532.78,approved
PAY000000379,ORD00000339,1,credit_card,6,725.38,approved
PAY000000380,ORD00000340,1,credit_card,6,1010.46,approved
PAY000000381,ORD00000341,1,credit_card,2,253.82,approved
PAY000000382,ORD00000341,2,debit_card,1,883.96,approved
PAY000000383,ORD00000342,1,credit_card,3,995.35,refunded
PAY000000384,ORD00000343,1,credit_card,3,155.26,approved
PAY000000385,ORD00000344,1,credit_card,2,986.76,approved
PAY000000386,ORD00000345,1,boleto,1,725.56,approved
PAY000000387,ORD00000346,1,boleto,1,1016.45,approved
PAY000000388,ORD00000347,1,boleto,1,482.05,approved
PAY000000389,ORD00000348,1,credit_card,3,500.32,approved
PAY000000390,ORD00000349,1,credit_card,6,1080.97,refunded
PAY000000391,ORD00000350,1,boleto,1,410.73,approved
PAY000000392,ORD00000351,1,credit_card,2,1128.72,approved
PAY000000393,ORD00000351,2,credit_card,1,522.31,approved
PAY000000394,ORD00000352,1,boleto,1,479.14,approved
PAY000000395,ORD00000353,1,debit_card,1,174.78,refunded
PAY000000396,ORD00000354,1,credit_card,3,437.88,approved
PAY000000397,ORD00000355,1,voucher,1,305.81,approved
PAY000000398,ORD00000356,1,boleto,1,1112.27,approved
PAY000000399,ORD00000357,1,credit_card,1,187.69,approved
PAY000000400,ORD00000358,1,credit_card,12,879.82,approved
PAY000000401,ORD00000359,1,credit_card,3,693.74,approved
PAY000000402,ORD00000360,1,credit_card,1,1134.68,approved
PAY000000403,ORD00000361,1,credit_card,2,641.88,approved
PAY000000404,ORD00000362,1,voucher,1,1031.12,approved
PAY000000405,ORD00000363,1,credit_card,2,125.05,approved
PAY000000406,ORD00000364,1,credit_card,12,1075.79,refunded
PAY000000407,ORD00000365,1,boleto,1,770.46,refunded
PAY000000408,ORD00000366,1,credit_card,2,337.33,approved
PAY000000409,ORD00000367,1,credit_card,2,1070.47,approved
PAY000000410,ORD00000368,1,debit_card,1,688.52,approved
PAY000000411,ORD00000369,1,debit_card,1,460.02,approved
PAY000000412,ORD00000370,1,boleto,1,132.99,approved
PAY000000413,ORD00000371,1,credit_card,3,644.31,refunded
PAY000000414,ORD00000372,1,debit_card,1,848.87,approved
PAY000000415,ORD00000372,2,voucher,1,625.12,approved
PAY000000416,ORD00000373,1,credit_card,2,121.85,approved
PAY000000417,ORD00000374,1,credit_card,6,453.16,approved
PAY000000418,ORD00000375,1,boleto,1,246.97,approved
PAY000000419,ORD00000376,1,debit_card,1,816.04,approved
PAY000000420,ORD00000377,1,credit_card,12,815.97,approved
PAY000000421,ORD00000378,1,credit_card,2,133.58,approved
PAY000000422,ORD00000379,1,credit_card,12,1029.93,approved
PAY000000423,ORD00000380,1,credit_card,1,438.12,approved
PAY000000424,ORD00000381,1,credit_card,12,260.17,approved
PAY000000425,ORD00000382,1,boleto,1,22.01,approved
PAY000000426,ORD00000383,1,credit_card,6,497.07,approved
PAY000000427,ORD00000384,1,credit_card,12,839.63,approved
PAY000000428,ORD00000384,2,credit_card,6,567.04,approved
PAY000000429,ORD00000385,1,boleto,1,217.34,approved
PAY000000430,ORD00000386,1,credit_card,1,1011.2,refunded
PAY000000431,ORD00000387,1,credit_card,3,569.66,approved
PAY000000432,ORD00000388,1,boleto,1,1022.37,approved
PAY000000433,ORD00000389,1,credit_card,12,925.45,approved
PAY000000434,ORD00000390,1,credit_card,3,459.32,approved
PAY000000435,ORD00000391,1,boleto,1,218.46,approved
PAY000000436,ORD00000391,2,credit_card,6,953.3,approved
PAY000000437,ORD00000392,1,debit_card,1,619.55,approved
PAY000000438,ORD00000393,1,credit_card,6,681.08,approved
PAY000000439,ORD00000394,1,boleto,1,165.85,approved
PAY000000440,ORD00000394,2,boleto,1,1034.04,approved
PAY000000441,ORD00000395,1,credit_card,12,30.97,approved
PAY000000442,ORD00000396,1,credit_card,2,470.62,approved
PAY000000443,ORD00000397,1,boleto,1,508.01,refunded
PAY000000444,ORD00000398,1,credit_card,6,308.25,approved
PAY000000445,ORD00000399,1,credit_card,6,782.76,approved
PAY000000446,ORD00000400,1,debit_card,1,304.06,approved
PAY000000447,ORD00000401,1,credit_card,3,1097.25,approved
PAY000000448,ORD00000402,1,voucher,1,98.09,approved
PAY000000449,ORD00000403,1,boleto,1,520.4,approved
PAY000000450,ORD00000404,1,boleto,1,659.28,refunded
PAY000000451,ORD00000405,1,credit_card,2,856.27,approved
PAY000000452,ORD00000406,1,credit_card,6,157.94,approved
PAY000000453,ORD00000407,1,credit_card,3,1154.19,approved
PAY000000454,ORD00000408,1,credit_card,1,841.12,approved
PAY000000455,ORD00000409,1,credit_card,1,86.29,approved
PAY000000456,ORD00000410,1,credit_card,3,804.04,approved
PAY000000457,ORD00000411,1,boleto,1,190.14,approved
PAY000000458,ORD00000412,1,boleto,1,970.37,approved
PAY000000459,ORD00000413,1,credit_card,2,462.66,approved
PAY000000460,ORD00000414,1,credit_card,12,267.1,approved
PAY000000461,ORD00000415,1,voucher,1,762.29,approved
PAY000000462,ORD00000416,1,credit_card,6,550.58,approved
PAY000000463,ORD00000417,1,credit_card,6,767.04,approved
PAY000000464,ORD00000417,2,debit_card,1,293.33,approved
PAY000000465,ORD00000418,1,credit_card,1,655.32,approved
